launch_id,launch_date,year,month,era,country,operator,rocket,launch_site,orbit,status,payload_mass_kg,crewed,booster_reused
SL005482,1957-02-14,1957,2,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,ISS,Failure,236,1,0
SL006120,1957-11-12,1957,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,ISS,Failure,191,1,0
SL007031,1958-01-15,1958,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Failure,85,0,0
SL003503,1958-03-14,1958,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Success,207,1,0
SL003151,1958-08-27,1958,8,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,ISS,Success,208,1,0
SL001158,1958-10-19,1958,10,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,ISS,Success,104,1,0
SL004642,1958-11-15,1958,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Success,184,1,0
SL001837,1958-11-25,1958,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Failure,133,0,0
SL001221,1959-01-02,1959,1,Cold War Era,USA,NRL,Vanguard,Kennedy Space Center LC-39A,LEO,Failure,1,0,0
SL000744,1959-01-19,1959,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Success,179,0,0
SL005540,1959-03-10,1959,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Failure,93,0,0
SL002880,1959-04-07,1959,4,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Success,102,1,0
SL003453,1959-05-14,1959,5,Cold War Era,USA,Army,Juno I,SpaceX Starbase (Boca Chica),SSO,Success,1,0,0
SL007009,1959-12-24,1959,12,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Success,105,0,0
SL007435,1960-01-09,1960,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Failure,71,0,0
SL005178,1960-01-14,1960,1,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,ISS,Success,1147,1,0
SL007122,1960-01-14,1960,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Failure,84,0,0
SL005228,1960-01-27,1960,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,GTO,Success,108,0,0
SL003207,1960-02-01,1960,2,Cold War Era,USA,Army,Juno I,Vandenberg SFB SLC-4E,SSO,Success,2,0,0
SL005183,1960-02-01,1960,2,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,ISS,Failure,227,1,0
SL003038,1960-02-05,1960,2,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,830,1,0
SL000595,1960-02-08,1960,2,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Success,97,1,0
SL000052,1960-03-03,1960,3,Cold War Era,USA,LTV,Scout,Vandenberg SFB SLC-4E,ISS,Success,28,1,0
SL000766,1960-03-05,1960,3,Cold War Era,USA,NRL,Vanguard,Mahia Peninsula LC-1,SSO,Failure,1,0,0
SL000647,1960-03-14,1960,3,Cold War Era,USA,Army,Juno I,Cape Canaveral SLC-41,LEO,Failure,1,1,0
SL004991,1960-03-19,1960,3,Cold War Era,USA,NRL,Vanguard,SpaceX Starbase (Boca Chica),LEO,Failure,4,0,0
