payload_id,name,year,type,mass_kg,orbit,owner_country,design_lifetime_years,operational_status,is_crewed,dry_mass_kg,power_watts,commercial
PL0000001,O3b-87,1979,Human Transport,193.4,Suborbital,USA,,Retired,1,150.5,852.0,0
PL0000002,Pleiades-9,1996,Earth Observation,98.9,ISS,USA,6.0,Operational,0,68.2,1484.0,1
PL0000003,ATV-69,1993,Technology Demo,57.8,SSO,Europe,2.0,Operational,0,34.3,27.0,1
PL0000004,Mangalyaan-32,1965,Technology Demo,707.0,Suborbital,Other,2.0,Retired,0,521.5,76.0,1
PL0000005,Express-29,1979,Space Station,267.5,MEO,Russia,6.0,Operational,0,151.1,389.0,0
PL0000006,ATV-47,1979,Cargo Resupply,386.5,LEO,USA,,Operational,0,222.2,448.0,0
PL0000007,HTV-8,1988,Communications,759.7,ISS,USA,9.0,Retired,0,464.5,216.0,1
PL0000008,HTV-73,1985,Military,319.5,Interplanetary,Russia,5.0,Operational,0,253.4,302.0,0
PL0000009,Kepler-33,1964,Debris,245.8,TLI,USA,8.0,Operational,0,191.3,1318.0,0
PL0000010,Pioneer-54,2024,Navigation,11.2,SSO,USA,3.0,Operational,0,8.9,916.0,0
PL0000011,SPOT-52,1995,Scientific,807.0,HEO,India,30.0,Operational,0,543.4,582.0,0
PL0000012,Soyuz-38,1971,Cargo Resupply,140.4,SSO,USA,,Retired,0,93.4,1014.0,0
PL0000013,SES-62,1996,Scientific,517.0,ISS,USA,6.0,Decayed,0,367.0,774.0,0
PL0000014,Juno-83,1978,Navigation,742.8,GTO,USA,2.0,Operational,0,530.0,7338.0,0
PL0000015,Cosmos-36,1994,Earth Observation,199.1,MEO,Other,3.0,Operational,0,137.6,467.0,1
PL0000016,Progress-27,1973,Earth Observation,136.8,GTO,Russia,8.0,Operational,0,106.4,383.0,1
PL0000017,Eutelsat-67,1973,Scientific,15070.7,ISS,USA,13.0,Operational,0,11134.5,205.0,0
PL0000018,Cygnus-87,2008,Military,163.8,Interplanetary,USA,8.0,Retired,0,129.3,870.0,0
PL0000019,Teledesic-41,1984,Navigation,4576.4,GTO,Europe,4.0,Operational,0,3015.5,833.0,0
PL0000020,Molniya-2,1957,Navigation,231.8,SSO,USA,29.0,Operational,0,147.0,87.0,0
PL0000021,Juno-77,1984,Cubesat,753.4,GTO,Russia,13.0,Unknown,0,515.9,2392.0,1
PL0000022,TESS-48,1961,Military,1541.6,Suborbital,China,4.0,Retired,0,998.1,1030.0,0
PL0000023,FengYun-77,2005,Scientific,2385.1,GEO,Other,7.0,Failed,0,1663.1,325.0,0
PL0000024,SES-82,1963,Navigation,148.7,MEO,Russia,9.0,Operational,0,111.1,239.0,0
PL0000025,Globalstar-96,2022,Communications,286.9,GTO,China,7.0,Decayed,0,196.8,257.0,1
PL0000026,Tiangong-12,1960,Technology Demo,646.3,Suborbital,Russia,8.0,Decayed,0,473.6,5028.0,1
PL0000027,O3b-88,1998,Communications,118.8,TLI,Russia,5.0,Retired,0,93.1,1727.0,1
PL0000028,ATV-76,1986,Technology Demo,132.6,TLI,Russia,10.0,Operational,0,96.2,709.0,1
PL0000029,Tiangong-39,1969,Earth Observation,221.4,ISS,Europe,12.0,Decayed,0,160.8,872.0,1
PL0000030,Tiangong-51,1976,Debris,193.7,LEO,Russia,12.0,Unknown,0,111.0,463.0,0
PL0000031,NAVSTAR-24,1981,Navigation,4.5,HEO,Russia,26.0,Operational,0,2.7,2850.0,0
PL0000032,Mars Odyssey-3,2005,Earth Observation,150.0,Interplanetary,Europe,21.0,Unknown,0,116.3,197.0,1
PL0000033,New Horizons-56,1983,Communications,764.1,GEO,China,19.0,Retired,0,540.4,372.0,1
PL0000034,Dragon-56,1990,Communications,27.6,Suborbital,China,10.0,Retired,0,21.5,542.0,1
PL0000035,Cassini-77,2007,Technology Demo,82.4,SSO,China,13.0,Retired,0,48.4,1597.0,1
PL0000036,Tiangong-90,1961,Military,591.4,MEO,China,9.0,Failed,0,410.2,724.0,0
PL0000037,Eutelsat-56,1981,Communications,67.5,MEO,Other,30.0,Operational,0,40.5,253.0,1
PL0000038,Pioneer-14,2011,Space Station,675.6,GEO,India,9.0,Operational,0,492.3,395.0,0
